Year,FacilityID,FacilityOwner,FacilityName,Type,SubType,SourceName,SourceType,Sub-Basin,8DigitHUC,County,TotalIntake(MG),month,monthlyWaterUse,Date,monthlyWaterUseMG,NewWaterType,NewSubType
2009,0786-0001,Blue Ridge Tissue Corp,Blue Ridge Tissue Corp - Patterson Mill,Industrial,Wood/Paper products,In-take Pump and Fire Pump,River,Yadkin River (18-1),3040101,Caldwell,38.353,1,3.751,1/1/2009,3.751,Surface Water,Wood & Paper Products
2009,0095-0001,"Cascades Holdings US, Inc.",West Point Home Filter/Waste Treatment,Industrial,Textile manufacturing,"Pumps 1,2 and 3",River,Lumber River (09-1),3040203,Scotland,143.319,1,9.61,1/1/2009,9.61,Surface Water,Textile Manufacturing
2009,0353-0001,Clariant Corporation,Mt. Holly Plant,Industrial,Chemical/Pharmaceutical manufacturing/processing,"21 Deep Wells, 115 Shallow Wells, and Catawba River",River and Well,Catawba River (03-1),3050101,Mecklenburg,28.59,1,3.84,1/1/2009,3.84,Mix,Chemical
2009,0359-0001,"CNA Holdings, Inc.","CNA Holdings, Inc.-TICONA",Industrial,Metal/Plastic/Fiberglass manufacturing,Buffalo Creek,Stream,Broad River (01-1),3050105,Cleveland,152.714,1,9.455,1/1/2009,9.455,Surface Water,Metal/Plastic/Fiberglass
2009,0045-0001,Coats American,Sevier Finishing Plant,Industrial,Textile manufacturing,Armstrong Creek,Stream,Catawba River (03-1),3050101,McDowell,327.9,1,27.9,1/1/2009,27.9,Surface Water,Textile Manufacturing
2009,0382-0001,"Copland Industries, Inc","Copland Industries, Inc",Industrial,Textile manufacturing,Stoney Creek,Reservoir,Haw River (02-1),3030002,Alamance,31.9,1,2.66,1/1/2009,2.66,Surface Water,Textile Manufacturing
2009,0779-0001,Corning Incorporated,Corning - Wilmington Plant,Industrial,Metal/Plastic/Fiberglass manufacturing,"Wells 1,2,3,4 and 5",Well,Cape Fear River (02-3),3030007,New Hanover,111.14,1,7.75,1/1/2009,7.75,Groundwater,Metal/Plastic/Fiberglass
2009,0434-0001,"Dak Monomers, LLC",DAK Americas - Cape Fear Site,Industrial,Chemical/Pharmaceutical manufacturing/processing,Cape Fear River,River,Cape Fear River (02-3),3030005,Brunswick,1863.018,1,160.146,1/1/2009,160.146,Surface Water,Chemical
2009,0055-0001,"Delta Apparel, Inc.","Delta Apparel, Inc.",Industrial,Textile manufacturing,Catawba River,River,South Fork Catawba River (03-2),3030004,Catawba,292.191,1,21.39,1/1/2009,21.39,Surface Water,Textile Manufacturing
2009,0059-0003,Dupont,Dupont Company - Fayetteville,Industrial,Chemical/Pharmaceutical manufacturing/processing,Cape Fear River and DERC Clubhouse,River and Well,Cape Fear River (02-3),3030005,Bladen,3738.118,1,245.52,1/1/2009,245.52,Mix,Chemical
2009,0141-0001,Elementis Chromium L.P.,Elementis Chromium Castle Hayne Plant,Industrial,Metal/Plastic/Fiberglass manufacturing,"PW-7,8,9 and Intake Canal",River and Well,Northeast Cape Fear River (02-5),3030007,New Hanover,402.564,1,33.108,1/1/2009,33.108,Mix,Metal/Plastic/Fiberglass
2009,0296-0001,General Electric Company,GE Wilmington,Industrial,Chemical/Pharmaceutical manufacturing/processing,19 Wells,Well,Cape Fear River (02-3),3030007,New Hanover,205.513,1,16.864,1/1/2009,16.864,Groundwater,Chemical
2009,0066-0001,International Paper,Riegelwood Mill,Industrial,Wood/Paper products,Lower Cape Fear River,River,Cape Fear River (02-3),3030005,Columbus,11621.7,1,926.9,1/1/2009,926.9,Surface Water,Wood & Paper Products
2009,0358-0002,Invista Sarl,"Invista, Sarl",Industrial,Textile manufacturing,6 Wells,Well,Cape Fear River (02-3),3030007,New Hanover,427.926,1,40.3,1/1/2009,40.3,Groundwater,Textile Manufacturing
2009,0670-0001,Jackson Paper Manufacturing Company,Jackson Paper Manufacturing Company,Industrial,Wood/Paper products,Scotts Creek,Stream,Tuskasegee River (07-2),6010203,Jackson,29.836,1,2.75,1/1/2009,2.75,Surface Water,Wood & Paper Products
2009,0037-0001,Kapston Kraft Paper Corp.,Roanoke Rapids Mill,Industrial,Wood/Paper products,Roanoke River,River,Roanoke River (14-1),3010107,Halifax,6575.1,1,523.9,1/1/2009,523.9,Surface Water,Wood & Paper Products
2009,0060-0001,"Kordsa, Inc.","Kordsa, Inc.",Industrial,Textile manufacturing,Kordsa Well,Well,Big Shoe Heel Creek (09-2),3040204,Scotland,1.771,1,0.09,1/1/2009,0.09,Groundwater,Textile Manufacturing
2009,0001-0001,Lousiana Pacific Corporation,Lousiana Pacific Corporation,Industrial,Wood/Paper products,Yadkin River and 2 Wells,River and Well,Yadkin River (18-1),3040101,Wilkes,421.692,1,36.518,1/1/2009,36.518,Mix,Wood & Paper Products
2009,0720-0001,Nucor Corporation,Nucor Steel,Industrial,Metal/Plastic/Fiberglass manufacturing,Fire Pump and 9 Wells,Well and Pond,Chowan River (04-1),3010203,Hertford,268.767,1,21.297,1/1/2009,21.297,Surface Water,Metal/Plastic/Fiberglass
2009,0142-0001,Occidental Chemical Corp.,Castle Hayne Plant,Industrial,Chemical/Pharmaceutical manufacturing/processing,26 Wells,Well,Northeast Cape Fear River (02-5),3030007,New Hanover,31.917,1,2.635,1/1/2009,2.635,Groundwater,Chemical
2009,0230-0002,"Perdue Farms, Inc.",Cofield Facility,Industrial,Animal processing,3 Wells,Well,Chowan River (04-1),3010203,Hertford,588.97,1,51.46,1/1/2009,51.46,Groundwater,Food
2009,0230-0001,"Perdue Farms, Inc.",Lewiston,Industrial,Animal processing,8 Wells,Well,Roanoke River (14-1),3010107,Bertie,978.09,1,86.49,1/1/2009,86.49,Groundwater,Food
2009,0383-0001,Performance Fibers Inc.,Performance Fibers - New Hill Facility,Industrial,Textile manufacturing,Haw River,River,Haw River (02-1),3030002,Chatham,68.941,1,5.115,1/1/2009,5.115,Surface Water,Textile Manufacturing
2009,0383-0002,Performance Fibers Inc.,Performance Fibers - Salisbury Facility,Industrial,Textile manufacturing,Second Creek,Stream,South Yadkin River (18-2),3040102,Rowan,171.53,1,19.158,1/1/2009,19.158,Surface Water,Textile Manufacturing
2009,0285-0007,Pilgrim's Pride,Gold Kist,Industrial,Animal processing,Deep River,River,Deep River (02-2),3030003,Lee,287.588,1,24.32,1/1/2009,24.32,Surface Water,Food
2009,0146-0001,RENOVA Partners,Davidson River Village,Industrial,Wood/Paper products,No Source Listed,No Source Listed,French Broad River (05-2),6010105,Transylvania,0,1,0,1/1/2009,0,No Source Listed,Wood & Paper Products
2009,0248-0001,Siemens Westinghouse Power Corporation,Charlotte Turbine Generator Service Center,Industrial,Metal/Plastic/Fiberglass manufacturing,Lake Wylie,Lake,Catawba River (03-1),3050101,Mecklenburg,1996.55,1,169.57,1/1/2009,169.57,Surface Water,Metal/Plastic/Fiberglass
2009,0429-0003,Smithfield Foods,Clinton Plant,Industrial,Animal processing,Smithfield Clinton Wells 1 and 2,Well,South River (02-4),3030006,Sampson,408.527,1,33.604,1/1/2009,33.604,Groundwater,Food
2009,0429-0002,Smithfield Foods,Smithfield Packing - Tar Heel Division,Industrial,Animal processing,9 Wells,Well,Lumber River (09-1),3040203,Bladen,549.334,1,43.431,1/1/2009,43.431,Groundwater,Food
2009,0338-0001,Teledyne Allvac,Monroe Plant,Industrial,Metal/Plastic/Fiberglass manufacturing,Lower Pond,Pond,Rocky River (18-4),3040105,Union,730,1,62,1/1/2009,62,Surface Water,Metal/Plastic/Fiberglass
2009,0705-0001,"True Textiles, Inc.","True Elkin, Inc.",Industrial,Textile manufacturing,Big Elkin Creek and Yadkin River,Stream and River,Yadkin River (18-1),3040101,Surry,125.101,1,19.292,1/1/2009,19.292,Surface Water,Textile Manufacturing
2009,0426-0001,"Tyson Foods, Inc",River Valley Animal Foods,Industrial,Animal processing,6 Wells,Well,South Yadkin River (18-2),3040102,Iredell,59.578,1,5.084,1/1/2009,5.084,Groundwater,Food
2009,0713-0001,"Valley Proteins, Inc.","Carolina By- Products, Gastonia Division",Industrial,Animal processing,Crowders Creek and Well,Stream and Well,Catawba River (03-1),3050101,Gaston,94.2,1,8.1,1/1/2009,8.1,Surface Water,Food
2009,0205-0003,Weyerhaeuser Company,Weyerhaeuser Company,Industrial,Wood/Paper products,4 Wells and a River,River and Well,Neuse River (10-1),3030003,Craven,4894.43,1,446.09,1/1/2009,446.09,Mix,Wood & Paper Products
2009,0601-0001,"Zink Imaging, Inc.","Zink Imaging, Inc.",Industrial,Chemical/Pharmaceutical manufacturing/processing,2 Wells,Well,Haw River (02-1),3030002,Guilford,28.169,1,2.418,1/1/2009,2.418,Groundwater,Chemical
2010,0292-0001,"Alamac American Knits, LLC",Alamac American Knits,Industrial,Textile manufacturing,"Wells 1,2,4 and 5",Well,Lumber River (09-1),3040203,Robeson,146.09,1,10.85,1/1/2010,10.85,Groundwater,Textile Manufacturing
2010,0423-0001,Allen Canning Company,Allen Canning Company #7,Industrial,Aquaculture,East and West wells,Well,South River (02-4),3030006,Sampson,177.61,1,10.92,1/1/2010,10.92,Groundwater,Animal Production and Aquaculture
2010,0004-0001,"American & Efird, Inc.",Plant 15,Industrial,Textile manufacturing,Catawba River,River,Catawba River (03-1),3050101,Gaston,213.369,1,15.444,1/1/2010,15.444,Surface Water,Textile Manufacturing
2010,0385-0001,Arauco Panels USA LLC,Moncure Division,Industrial,Wood/Paper products,Haw River,River,Haw River (02-1),3030002,Chatham,17.363,1,1.073,1/1/2010,1.073,Surface Water,Wood & Paper Products
2010,0009-0001,Archer Daniels Midland Company,Southport Plant 789,Industrial,Chemical/Pharmaceutical manufacturing/processing,Construction well,Well,Cape Fear River (02-3),3030005,Brunswick,0,1,0,1/1/2010,0,Groundwater,Chemical
2010,0432-0001,"Avoca, Inc.",Avoca Farms,Industrial,Chemical/Pharmaceutical manufacturing/processing,Wells 1 and 2,Well,Chowan River (04-1),3010203,Bertie,43.377,1,4.433,1/1/2010,4.433,Groundwater,Chemical
2010,0249-0001,Baxter Healthcare Corporation,Baxter North Cove Facility,Industrial,Chemical/Pharmaceutical manufacturing/processing,"Wells 1,3,5 and 9",Well,Catawba River (03-1),3050101,McDowell,430.87,1,39.99,1/1/2010,39.99,Groundwater,Chemical
2010,0350-0001,"Blue Ridge Paper Products, Inc.",Canton Mill,Industrial,Wood/Paper products,Pigeon River,River,Pigeon River (05-3),6010106,Haywood,11042.93,1,906.13,1/1/2010,906.13,Surface Water,Wood & Paper Products
2010,0786-0001,Blue Ridge Tissue Corp,Blue Ridge Tissue Corp - Patterson Mill,Industrial,Wood/Paper products,In-take Pump and Fire Pump,River,Yadkin River (18-1),3040101,Caldwell,66.043,1,3.472,1/1/2010,3.472,Surface Water,Wood & Paper Products
2010,0095-0001,"Cascades Holdings US, Inc.",West Point Home Filter/Waste Treatment,Industrial,Textile manufacturing,"Pumps 1,2 and 3",River,Lumber River (09-1),3040203,Scotland,216.349,1,16.306,1/1/2010,16.306,Surface Water,Textile Manufacturing
2010,0353-0001,Clariant Corporation,Mt. Holly Plant,Industrial,Chemical/Pharmaceutical manufacturing/processing,"21 Deep Wells, 115 Shallow Wells, and Catawba River",River and Well,Catawba River (03-1),3050101,Mecklenburg,41.323,1,3.104,1/1/2010,3.104,Mix,Chemical
2010,0359-0001,"CNA Holdings, Inc.","CNA Holdings, Inc.-TICONA",Industrial,Metal/Plastic/Fiberglass manufacturing,Buffalo Creek,Stream,Broad River (01-1),3050105,Cleveland,57.271,1,9.641,1/1/2010,9.641,Surface Water,Metal/Plastic/Fiberglass
2010,0045-0001,Coats American,Sevier Finishing Plant,Industrial,Textile manufacturing,Armstrong Creek,Stream,Catawba River (03-1),3050101,McDowell,50.005,1,4.247,1/1/2010,4.247,Surface Water,Textile Manufacturing
2010,0382-0001,"Copland Industries, Inc","Copland Industries, Inc",Industrial,Textile manufacturing,Stoney Creek,Reservoir,Haw River (02-1),3030002,Alamance,14.646,1,1.05,1/1/2010,1.05,Surface Water,Textile Manufacturing
2010,0779-0001,Corning Incorporated,Corning - Wilmington Plant,Industrial,Metal/Plastic/Fiberglass manufacturing,"Wells 1,2,3,4 and 5",Well,Cape Fear River (02-3),3030007,New Hanover,111.14,1,7.75,1/1/2010,7.75,Groundwater,Metal/Plastic/Fiberglass
2010,0434-0001,"Dak Monomers, LLC",DAK Americas - Cape Fear Site,Industrial,Chemical/Pharmaceutical manufacturing/processing,Cape Fear River,River,Cape Fear River (02-3),3030005,Brunswick,1795.8,1,152.52,1/1/2010,152.52,Surface Water,Chemical
2010,0055-0001,"Delta Apparel, Inc.","Delta Apparel, Inc.",Industrial,Textile manufacturing,Catawba River,River,South Fork Catawba River (03-2),3030004,Catawba,340.455,1,27.931,1/1/2010,27.931,Surface Water,Textile Manufacturing
2010,0059-0003,Dupont,Dupont Company - Fayetteville,Industrial,Chemical/Pharmaceutical manufacturing/processing,Cape Fear River and DERC Clubhouse,River and Well,Cape Fear River (02-3),3030005,Bladen,3978.585,1,249.178,1/1/2010,249.178,Mix,Chemical
2010,0141-0001,Elementis Chromium L.P.,Elementis Chromium Castle Hayne Plant,Industrial,Metal/Plastic/Fiberglass manufacturing,"PW-7,8,9 and Intake Canal",River and Well,Northeast Cape Fear River (02-5),3030007,New Hanover,445.033,1,36.27,1/1/2010,36.27,Mix,Metal/Plastic/Fiberglass
2010,0818-0001,Elkay Manufacturing,Elkay Plumbing Products Company,Industrial,Metal/Plastic/Fiberglass manufacturing,"Pumps 1,2,3,4 and 5",Well,Lumber River (09-1),3040203,Robeson,2.86,1,0.231,1/1/2010,0.231,Groundwater,Metal/Plastic/Fiberglass
2010,0807-0001,Gavilon Fertizer,Gavilon Fertilizer - Wilmington,Industrial,Chemical/Pharmaceutical manufacturing/processing,Northeast Cape Fear River,River,Cape Fear River (02-3),3030007,New Hanover,16.8,1,4.2,1/1/2010,4.2,Surface Water,Chemical
2010,0296-0001,General Electric Company,GE Wilmington,Industrial,Chemical/Pharmaceutical manufacturing/processing,19 Wells,Well,Cape Fear River (02-3),3030007,New Hanover,166.506,1,10.199,1/1/2010,10.199,Groundwater,Chemical
2010,0066-0001,International Paper,Riegelwood Mill,Industrial,Wood/Paper products,Lower Cape Fear River,River,Cape Fear River (02-3),3030005,Columbus,12666.1,1,1054,1/1/2010,1054,Surface Water,Wood & Paper Products
2010,0358-0002,Invista Sarl,"Invista, Sarl",Industrial,Textile manufacturing,6 Wells,Well,Cape Fear River (02-3),3030007,New Hanover,396.07,1,35.03,1/1/2010,35.03,Groundwater,Textile Manufacturing
2010,0670-0001,Jackson Paper Manufacturing Company,Jackson Paper Manufacturing Company,Industrial,Wood/Paper products,Scotts Creek,Stream,Tuskasegee River (07-2),6010203,Jackson,29.38,1,2.235,1/1/2010,2.235,Surface Water,Wood & Paper Products
2010,0037-0001,Kapston Kraft Paper Corp.,Roanoke Rapids Mill,Industrial,Wood/Paper products,Roanoke River,River,Roanoke River (14-1),3010107,Halifax,6403.24,1,344.1,1/1/2010,344.1,Surface Water,Wood & Paper Products
2010,0060-0001,"Kordsa, Inc.","Kordsa, Inc.",Industrial,Textile manufacturing,Kordsa Well,Well,Big Shoe Heel Creek (09-2),3040204,Scotland,1.278,1,0.155,1/1/2010,0.155,Groundwater,Textile Manufacturing
2010,0001-0001,Lousiana Pacific Corporation,Lousiana Pacific Corporation,Industrial,Wood/Paper products,Yadkin River and 2 Wells,River and Well,Yadkin River (18-1),3040101,Wilkes,752.956,1,75.516,1/1/2010,75.516,Mix,Wood & Paper Products
2010,0720-0001,Nucor Corporation,Nucor Steel,Industrial,Metal/Plastic/Fiberglass manufacturing,Fire Pump and 9 Wells,Well and Pond,Chowan River (04-1),3010203,Hertford,304.838,1,27.869,1/1/2010,27.869,Surface Water,Metal/Plastic/Fiberglass
2010,0142-0001,Occidental Chemical Corp.,Castle Hayne Plant,Industrial,Chemical/Pharmaceutical manufacturing/processing,26 Wells,Well,Northeast Cape Fear River (02-5),3030007,New Hanover,31.582,1,2.728,1/1/2010,2.728,Groundwater,Chemical
2010,0230-0002,"Perdue Farms, Inc.",Cofield Facility,Industrial,Animal processing,3 Wells,Well,Chowan River (04-1),3010203,Hertford,609.429,1,52.328,1/1/2010,52.328,Groundwater,Food
